Obs,sampleno,month,day,year,metal,type,siteno,conc1,conc,MDL
970,290,August,7,2019,V,F,8,2.5422,2.5422,0.019267592
971,291,August,7,2019,V,F,9,1.8784,1.8784,0.019267592
972,292,August,7,2019,V,F,10,1.984,1.984,0.019267592
973,293,August,7,2019,V,F,11,1.9178,1.9178,0.019267592
974,296,August,7,2019,V,F,12,1.1594,1.1594,0.019267592
975,299,August,7,2019,V,F,13,0.9302,0.9302,0.019267592
976,491,August,7,2019,V,W,1,1.3906,1.3906,0.054880598
977,492,August,7,2019,V,W,2,1.546,1.546,0.054880598
978,493,August,7,2019,V,W,3,1.2132,1.2132,0.054880598
979,494,August,7,2019,V,W,4,1.595,1.595,0.054880598
980,496,August,7,2019,V,W,5,1.7286,1.7286,0.054880598
981,498,August,7,2019,V,W,6,2.2594,2.2594,0.054880598
982,499,August,7,2019,V,W,7,2.6394,2.6394,0.054880598
983,500,August,7,2019,V,W,8,2.6514,2.6514,0.054880598
984,502,August,7,2019,V,W,9,2.0342,2.0342,0.054880598
985,503,August,7,2019,V,W,10,2.1012,2.1012,0.054880598
986,504,August,7,2019,V,W,11,2.092,2.092,0.054880598
987,505,August,7,2019,V,W,12,1.363,1.363,0.054880598
988,506,August,7,2019,V,W,13,1.0478,1.0478,0.054880598
989,281,August,7,2019,Zn,F,1,7.1372,7.1372,0.688434339
990,284,August,7,2019,Zn,F,2,5.8812,5.8812,0.688434339
991,285,August,7,2019,Zn,F,3,14.8646,14.8646,0.688434339
992,286,August,7,2019,Zn,F,4,14.7836,14.7836,0.688434339
993,287,August,7,2019,Zn,F,5,15.72111111,15.72111111,0.688434339
994,288,August,7,2019,Zn,F,6,22.6592,22.6592,0.688434339
995,289,August,7,2019,Zn,F,7,17.985,17.985,0.688434339
996,290,August,7,2019,Zn,F,8,16.3852,16.3852,0.688434339
997,291,August,7,2019,Zn,F,9,13.3712,13.3712,0.688434339
998,292,August,7,2019,Zn,F,10,15.0948,15.0948,0.688434339
999,293,August,7,2019,Zn,F,11,12.0326,12.0326,0.688434339
1000,296,August,7,2019,Zn,F,12,12.9672,12.9672,0.688434339
1001,299,August,7,2019,Zn,F,13,12.0704,12.0704,0.688434339
1002,491,August,7,2019,Zn,W,1,3.6108,3.6108,0.48700501
1003,492,August,7,2019,Zn,W,2,5.8016,5.8016,0.48700501
1004,493,August,7,2019,Zn,W,3,4.5658,4.5658,0.48700501
1005,494,August,7,2019,Zn,W,4,5.2732,5.2732,0.48700501
1006,496,August,7,2019,Zn,W,5,4.231,4.231,0.48700501
1007,498,August,7,2019,Zn,W,6,9.5598,9.5598,0.48700501
1008,499,August,7,2019,Zn,W,7,5.999,5.999,0.48700501
1009,500,August,7,2019,Zn,W,8,4.0992,4.0992,0.48700501
1010,502,August,7,2019,Zn,W,9,5.427,5.427,0.48700501
1011,503,August,7,2019,Zn,W,10,7.6206,7.6206,0.48700501
1012,504,August,7,2019,Zn,W,11,8.7092,8.7092,0.48700501
1013,505,August,7,2019,Zn,W,12,6.2192,6.2192,0.48700501
1014,506,August,7,2019,Zn,W,13,4.3254,4.3254,0.48700501
1015,357,August,22,2019,Al,F,1,10.942,10.942,0.504297531
1016,359,August,22,2019,Al,F,2,8.5806,8.5806,0.504297531
1017,360,August,22,2019,Al,F,3,30.4254,30.4254,0.504297531
1018,361,August,22,2019,Al,F,4,8.9958,8.9958,0.504297531
1019,362,August,22,2019,Al,F,5,13.9204,13.9204,0.504297531
1020,363,August,22,2019,Al,F,6,9.506,9.506,0.504297531
1021,365,August,22,2019,Al,F,7,7.612,7.612,0.504297531
1022,366,August,22,2019,Al,F,8,8.2204,8.2204,0.504297531
1023,367,August,22,2019,Al,F,9,5.5888,5.5888,0.504297531
1024,369,August,22,2019,Al,F,10,7.7422,7.7422,0.504297531
1025,370,August,22,2019,Al,F,11,11.82533333,11.82533333,0.504297531
1026,371,August,22,2019,Al,F,12,9.6968,9.6968,0.504297531
1027,372,August,22,2019,Al,F,13,7.9378,7.9378,0.504297531
1028,564,August,22,2019,Al,W,1,35.9486,35.9486,1.292263503
1029,565,August,22,2019,Al,W,2,43.798,43.798,1.292263503
1030,566,August,22,2019,Al,W,3,41.6574,41.6574,1.292263503
1031,567,August,22,2019,Al,W,4,35.1692,35.1692,1.292263503
1032,568,August,22,2019,Al,W,5,68.9236,68.9236,1.292263503
1033,570,August,22,2019,Al,W,6,49.9942,49.9942,1.292263503
1034,571,August,22,2019,Al,W,7,75.8264,75.8264,1.292263503
1035,572,August,22,2019,Al,W,8,64.9234,64.9234,1.292263503
1036,573,August,22,2019,Al,W,9,38.9756,38.9756,1.292263503
1037,574,August,22,2019,Al,W,10,49.4842,49.4842,1.292263503
1038,576,August,22,2019,Al,W,11,53.09222222,53.09222222,2.73865456
1039,577,August,22,2019,Al,W,12,42.6186,42.6186,2.73865456
1040,578,August,22,2019,Al,W,13,21.0028,21.0028,2.73865456
1041,357,August,22,2019,As,F,1,16.7222,16.7222,0.035213066
1042,359,August,22,2019,As,F,2,16.4152,16.4152,0.035213066
1043,360,August,22,2019,As,F,3,15.31,15.31,0.035213066
1044,361,August,22,2019,As,F,4,16.5236,16.5236,0.035213066
1045,362,August,22,2019,As,F,5,16.7148,16.7148,0.035213066
1046,363,August,22,2019,As,F,6,16.0114,16.0114,0.035213066
1047,365,August,22,2019,As,F,7,16.8982,16.8982,0.035213066
1048,366,August,22,2019,As,F,8,16.8578,16.8578,0.035213066
1049,367,August,22,2019,As,F,9,13.7288,13.7288,0.035213066
1050,369,August,22,2019,As,F,10,13.1906,13.1906,0.035213066
1051,370,August,22,2019,As,F,11,13.34355556,13.34355556,0.035213066
1052,371,August,22,2019,As,F,12,7.4738,7.4738,0.035213066
1053,372,August,22,2019,As,F,13,4.8374,4.8374,0.035213066
1054,564,August,22,2019,As,W,1,16.7424,16.7424,0.009754999
1055,565,August,22,2019,As,W,2,17.0922,17.0922,0.009754999
1056,566,August,22,2019,As,W,3,16.0628,16.0628,0.009754999
1057,567,August,22,2019,As,W,4,17.2794,17.2794,0.009754999
1058,568,August,22,2019,As,W,5,17.389,17.389,0.009754999
1059,570,August,22,2019,As,W,6,16.4862,16.4862,0.009754999
1060,571,August,22,2019,As,W,7,17.5088,17.5088,0.009754999
1061,572,August,22,2019,As,W,8,17.3892,17.3892,0.009754999
1062,573,August,22,2019,As,W,9,13.8186,13.8186,0.009754999
1063,574,August,22,2019,As,W,10,13.2234,13.2234,0.009754999
1064,576,August,22,2019,As,W,11,13.21688889,13.21688889,0.027713711
1065,577,August,22,2019,As,W,12,7.1702,7.1702,0.027713711
1066,578,August,22,2019,As,W,13,4.5912,4.5912,0.027713711
1067,357,August,22,2019,Cd,F,1,0.0238,0.0238,0.001587451
1068,359,August,22,2019,Cd,F,2,0.031,0.031,0.001587451
1069,360,August,22,2019,Cd,F,3,0.0308,0.0308,0.001587451
1070,361,August,22,2019,Cd,F,4,0.0356,0.0356,0.001587451
1071,362,August,22,2019,Cd,F,5,0.0396,0.0396,0.001587451
1072,363,August,22,2019,Cd,F,6,0.0514,0.0514,0.001587451
1073,365,August,22,2019,Cd,F,7,0.0512,0.0512,0.001587451
1074,366,August,22,2019,Cd,F,8,0.0572,0.0572,0.001587451
1075,367,August,22,2019,Cd,F,9,0.03,0.03,0.001587451
1076,369,August,22,2019,Cd,F,10,0.0288,0.0288,0.001587451
1077,370,August,22,2019,Cd,F,11,0.034666667,0.034666667,0.001587451
1078,371,August,22,2019,Cd,F,12,0.0258,0.0258,0.001587451
1079,372,August,22,2019,Cd,F,13,0.0166,0.0166,0.001587451
1080,564,August,22,2019,Cd,W,1,0.0328,0.0328,0.003174902
1081,565,August,22,2019,Cd,W,2,0.0374,0.0374,0.003174902
1082,566,August,22,2019,Cd,W,3,0.0408,0.0408,0.003174902
1083,567,August,22,2019,Cd,W,4,0.0448,0.0448,0.003174902
1084,568,August,22,2019,Cd,W,5,0.0616,0.0616,0.003174902
1085,570,August,22,2019,Cd,W,6,0.066,0.066,0.003174902
1086,571,August,22,2019,Cd,W,7,0.0748,0.0748,0.003174902
1087,572,August,22,2019,Cd,W,8,0.075,0.075,0.003174902
1088,573,August,22,2019,Cd,W,9,0.0484,0.0484,0.003174902
1089,574,August,22,2019,Cd,W,10,0.0396,0.0396,0.003174902
1090,576,August,22,2019,Cd,W,11,0.044666667,0.044666667,0.002297848
1091,577,August,22,2019,Cd,W,12,0.032,0.032,0.002297848
1092,578,August,22,2019,Cd,W,13,0.0226,0.0226,0.002297848
1093,357,August,22,2019,Co,F,1,0.1424,0.1424,0.002424871
1094,359,August,22,2019,Co,F,2,0.14,0.14,0.002424871
1095,360,August,22,2019,Co,F,3,0.1328,0.1328,0.002424871
1096,361,August,22,2019,Co,F,4,0.1436,0.1436,0.002424871
1097,362,August,22,2019,Co,F,5,0.1352,0.1352,0.002424871
1098,363,August,22,2019,Co,F,6,0.1342,0.1342,0.002424871
1099,365,August,22,2019,Co,F,7,0.131,0.131,0.002424871
1100,366,August,22,2019,Co,F,8,0.1276,0.1276,0.002424871
1101,367,August,22,2019,Co,F,9,0.1164,0.1164,0.002424871
1102,369,August,22,2019,Co,F,10,0.1204,0.1204,0.002424871
1103,370,August,22,2019,Co,F,11,0.131111111,0.131111111,0.002424871
1104,371,August,22,2019,Co,F,12,0.095,0.095,0.002424871
1105,372,August,22,2019,Co,F,13,0.0754,0.0754,0.002424871
1106,564,August,22,2019,Co,W,1,0.097,0.097,0.00192873
1107,565,August,22,2019,Co,W,2,0.1024,0.1024,0.00192873
1108,566,August,22,2019,Co,W,3,0.0848,0.0848,0.00192873
1109,567,August,22,2019,Co,W,4,0.0908,0.0908,0.00192873
1110,568,August,22,2019,Co,W,5,0.1064,0.1064,0.00192873
1111,570,August,22,2019,Co,W,6,0.08,0.08,0.00192873
1112,571,August,22,2019,Co,W,7,0.0952,0.0952,0.00192873
1113,572,August,22,2019,Co,W,8,0.0938,0.0938,0.00192873
1114,573,August,22,2019,Co,W,9,0.0642,0.0642,0.00192873
1115,574,August,22,2019,Co,W,10,0.0674,0.0674,0.00192873
1116,576,August,22,2019,Co,W,11,0.058666667,0.058666667,0.001890183
1117,577,August,22,2019,Co,W,12,0.0444,0.0444,0.001890183
1118,578,August,22,2019,Co,W,13,0.0316,0.0316,0.001890183
1119,357,August,22,2019,Cr,F,1,0.1172,0.1172,0.078950364
1120,359,August,22,2019,Cr,F,2,BDL,0.039475182,0.078950364
1121,360,August,22,2019,Cr,F,3,0.1836,0.1836,0.078950364
1122,361,August,22,2019,Cr,F,4,0.1036,0.1036,0.078950364
1123,362,August,22,2019,Cr,F,5,0.134,0.134,0.078950364
1124,363,August,22,2019,Cr,F,6,0.1248,0.1248,0.078950364
1125,365,August,22,2019,Cr,F,7,0.114,0.114,0.078950364
1126,366,August,22,2019,Cr,F,8,0.122,0.122,0.078950364
1127,367,August,22,2019,Cr,F,9,0.4352,0.4352,0.078950364
1128,369,August,22,2019,Cr,F,10,0.0928,0.0928,0.078950364
1129,370,August,22,2019,Cr,F,11,0.148,0.148,0.078950364
1130,371,August,22,2019,Cr,F,12,0.2668,0.2668,0.078950364
1131,372,August,22,2019,Cr,F,13,0.1148,0.1148,0.078950364
1132,564,August,22,2019,Cr,W,1,BDL,0.051878609,0.103757217
1133,565,August,22,2019,Cr,W,2,0.13,0.13,0.103757217
1134,566,August,22,2019,Cr,W,3,BDL,0.051878609,0.103757217
1135,567,August,22,2019,Cr,W,4,0.128,0.128,0.103757217
1136,568,August,22,2019,Cr,W,5,BDL,0.051878609,0.103757217
1137,570,August,22,2019,Cr,W,6,0.1308,0.1308,0.103757217
1138,571,August,22,2019,Cr,W,7,0.2134,0.2134,0.103757217
1139,572,August,22,2019,Cr,W,8,0.1618,0.1618,0.103757217
1140,573,August,22,2019,Cr,W,9,0.1124,0.1124,0.103757217
1141,574,August,22,2019,Cr,W,10,0.173,0.173,0.103757217
1142,576,August,22,2019,Cr,W,11,0.241555556,0.241555556,0.086938489
1143,577,August,22,2019,Cr,W,12,0.1692,0.1692,0.086938489
1144,578,August,22,2019,Cr,W,13,0.216,0.216,0.086938489
1145,357,August,22,2019,Cu,F,1,4.2202,4.2202,0.04480491
1146,359,August,22,2019,Cu,F,2,3.9822,3.9822,0.04480491
1147,360,August,22,2019,Cu,F,3,5.0268,5.0268,0.04480491
1148,361,August,22,2019,Cu,F,4,5.8284,5.8284,0.04480491
1149,362,August,22,2019,Cu,F,5,7.0322,7.0322,0.04480491
1150,363,August,22,2019,Cu,F,6,8.5,8.5,0.04480491
1151,365,August,22,2019,Cu,F,7,9.5774,9.5774,0.04480491
1152,366,August,22,2019,Cu,F,8,9.3018,9.3018,0.04480491
1153,367,August,22,2019,Cu,F,9,7.4512,7.4512,0.04480491
1154,369,August,22,2019,Cu,F,10,5.827,5.827,0.04480491
1155,370,August,22,2019,Cu,F,11,6.308888889,6.308888889,0.04480491
1156,371,August,22,2019,Cu,F,12,4.0346,4.0346,0.04480491
1157,372,August,22,2019,Cu,F,13,2.8312,2.8312,0.04480491
1158,564,August,22,2019,Cu,W,1,4.4852,4.4852,0.017351657
1159,565,August,22,2019,Cu,W,2,5.38,5.38,0.017351657
1160,566,August,22,2019,Cu,W,3,6.6336,6.6336,0.017351657
1161,567,August,22,2019,Cu,W,4,7.0728,7.0728,0.017351657
1162,568,August,22,2019,Cu,W,5,10.5024,10.5024,0.017351657
1163,570,August,22,2019,Cu,W,6,11.0696,11.0696,0.017351657
1164,571,August,22,2019,Cu,W,7,13.6684,13.6684,0.017351657
1165,572,August,22,2019,Cu,W,8,13.4392,13.4392,0.017351657
1166,573,August,22,2019,Cu,W,9,8.6678,8.6678,0.017351657
1167,574,August,22,2019,Cu,W,10,7.4378,7.4378,0.017351657
1168,576,August,22,2019,Cu,W,11,7.656888889,7.656888889,0.075508084
1169,577,August,22,2019,Cu,W,12,4.5182,4.5182,0.075508084
1170,578,August,22,2019,Cu,W,13,2.7148,2.7148,0.075508084
1171,357,August,22,2019,Fe,F,1,18.7176,18.7176,18.24651259
1172,359,August,22,2019,Fe,F,2,19.2742,19.2742,18.24651259
1173,360,August,22,2019,Fe,F,3,91.0298,91.0298,18.24651259
1174,361,August,22,2019,Fe,F,4,19.1784,19.1784,18.24651259
1175,362,August,22,2019,Fe,F,5,27.5046,27.5046,18.24651259
1176,363,August,22,2019,Fe,F,6,23.5126,23.5126,18.24651259
1177,365,August,22,2019,Fe,F,7,22.3208,22.3208,18.24651259
1178,366,August,22,2019,Fe,F,8,21.5824,21.5824,18.24651259
1179,367,August,22,2019,Fe,F,9,21.499,21.499,18.24651259
1180,369,August,22,2019,Fe,F,10,BDL,9.123256295,18.24651259
1181,370,August,22,2019,Fe,F,11,BDL,9.123256295,18.24651259
1182,371,August,22,2019,Fe,F,12,27.7998,27.7998,18.24651259
1183,372,August,22,2019,Fe,F,13,BDL,9.123256295,18.24651259
1184,564,August,22,2019,Fe,W,1,51.8112,51.8112,1.064594796
1185,565,August,22,2019,Fe,W,2,59.9016,59.9016,1.064594796
1186,566,August,22,2019,Fe,W,3,61.1714,61.1714,1.064594796
1187,567,August,22,2019,Fe,W,4,64.108,64.108,1.064594796
1188,568,August,22,2019,Fe,W,5,115.8798,115.8798,1.064594796
1189,570,August,22,2019,Fe,W,6,75.0368,75.0368,1.064594796
1190,571,August,22,2019,Fe,W,7,105.54,105.54,1.064594796
1191,572,August,22,2019,Fe,W,8,102.5264,102.5264,1.064594796
1192,573,August,22,2019,Fe,W,9,51.9102,51.9102,1.064594796
1193,574,August,22,2019,Fe,W,10,62.1942,62.1942,1.064594796
1194,576,August,22,2019,Fe,W,11,68.55666667,68.55666667,5.476870802
1195,577,August,22,2019,Fe,W,12,46.4546,46.4546,5.476870802
1196,578,August,22,2019,Fe,W,13,25.3994,25.3994,5.476870802
1197,357,August,22,2019,Mn,F,1,23.5584,23.5584,0.048907668
1198,359,August,22,2019,Mn,F,2,26.5718,26.5718,0.048907668
1199,360,August,22,2019,Mn,F,3,24.6068,24.6068,0.048907668
1200,361,August,22,2019,Mn,F,4,29.147,29.147,0.048907668
1201,362,August,22,2019,Mn,F,5,29.2248,29.2248,0.048907668
1202,363,August,22,2019,Mn,F,6,26.0644,26.0644,0.048907668
1203,365,August,22,2019,Mn,F,7,28.66,28.66,0.048907668
1204,366,August,22,2019,Mn,F,8,31.52,31.52,0.048907668
1205,367,August,22,2019,Mn,F,9,18.1722,18.1722,0.048907668
1206,369,August,22,2019,Mn,F,10,15.6602,15.6602,0.048907668
1207,370,August,22,2019,Mn,F,11,12.10333333,12.10333333,0.048907668
1208,371,August,22,2019,Mn,F,12,6.4496,6.4496,0.048907668
1209,372,August,22,2019,Mn,F,13,6.0174,6.0174,0.048907668
1210,564,August,22,2019,Mn,W,1,33.56,33.56,0.074237726
1211,565,August,22,2019,Mn,W,2,35.8036,35.8036,0.074237726
1212,566,August,22,2019,Mn,W,3,33.7146,33.7146,0.074237726
1213,567,August,22,2019,Mn,W,4,35.3264,35.3264,0.074237726
1214,568,August,22,2019,Mn,W,5,50.8016,50.8016,0.074237726
1215,570,August,22,2019,Mn,W,6,33.2762,33.2762,0.074237726
1216,571,August,22,2019,Mn,W,7,47.944,47.944,0.074237726
1217,572,August,22,2019,Mn,W,8,52.9544,52.9544,0.074237726
1218,573,August,22,2019,Mn,W,9,31.7442,31.7442,0.074237726
1219,574,August,22,2019,Mn,W,10,30.8636,30.8636,0.074237726
1220,576,August,22,2019,Mn,W,11,29.84111111,29.84111111,0.120807353
1221,577,August,22,2019,Mn,W,12,16.53,16.53,0.120807353
1222,578,August,22,2019,Mn,W,13,11.1004,11.1004,0.120807353
1223,357,August,22,2019,Ni,F,1,0.7282,0.7282,0.078644262
1224,359,August,22,2019,Ni,F,2,0.7304,0.7304,0.078644262
1225,360,August,22,2019,Ni,F,3,0.719,0.719,0.078644262
1226,361,August,22,2019,Ni,F,4,0.555,0.555,0.078644262
1227,362,August,22,2019,Ni,F,5,0.8396,0.8396,0.078644262
1228,363,August,22,2019,Ni,F,6,0.6034,0.6034,0.078644262
1229,365,August,22,2019,Ni,F,7,0.4854,0.4854,0.078644262
1230,366,August,22,2019,Ni,F,8,0.5318,0.5318,0.078644262
1231,367,August,22,2019,Ni,F,9,0.6786,0.6786,0.078644262
1232,369,August,22,2019,Ni,F,10,0.4388,0.4388,0.078644262
1233,370,August,22,2019,Ni,F,11,0.461777778,0.461777778,0.078644262
1234,371,August,22,2019,Ni,F,12,0.339,0.339,0.078644262
1235,372,August,22,2019,Ni,F,13,0.4362,0.4362,0.078644262
1236,564,August,22,2019,Ni,W,1,0.6386,0.6386,0.058002759
1237,565,August,22,2019,Ni,W,2,0.6854,0.6854,0.058002759
1238,566,August,22,2019,Ni,W,3,0.5228,0.5228,0.058002759
1239,567,August,22,2019,Ni,W,4,0.4976,0.4976,0.058002759
1240,568,August,22,2019,Ni,W,5,0.4898,0.4898,0.058002759
1241,570,August,22,2019,Ni,W,6,0.4646,0.4646,0.058002759
1242,571,August,22,2019,Ni,W,7,0.5156,0.5156,0.058002759
1243,572,August,22,2019,Ni,W,8,0.4884,0.4884,0.058002759
1244,573,August,22,2019,Ni,W,9,0.3636,0.3636,0.058002759
1245,574,August,22,2019,Ni,W,10,0.3924,0.3924,0.058002759
1246,576,August,22,2019,Ni,W,11,0.304,0.304,0.046605126
1247,577,August,22,2019,Ni,W,12,0.188,0.188,0.046605126
1248,578,August,22,2019,Ni,W,13,0.0982,0.0982,0.046605126
1249,357,August,22,2019,Pb,F,1,0.0762,0.0762,0.008701724
1250,359,August,22,2019,Pb,F,2,0.2208,0.2208,0.008701724
1251,360,August,22,2019,Pb,F,3,0.1272,0.1272,0.008701724
1252,361,August,22,2019,Pb,F,4,0.1338,0.1338,0.008701724
1253,362,August,22,2019,Pb,F,5,0.3518,0.3518,0.008701724
1254,363,August,22,2019,Pb,F,6,0.2682,0.2682,0.008701724
1255,365,August,22,2019,Pb,F,7,0.2266,0.2266,0.008701724
1256,366,August,22,2019,Pb,F,8,0.2132,0.2132,0.008701724
1257,367,August,22,2019,Pb,F,9,0.1448,0.1448,0.008701724
1258,369,August,22,2019,Pb,F,10,0.1396,0.1396,0.008701724
1259,370,August,22,2019,Pb,F,11,0.129777778,0.129777778,0.008701724
1260,371,August,22,2019,Pb,F,12,0.1066,0.1066,0.008701724
1261,372,August,22,2019,Pb,F,13,0.0684,0.0684,0.008701724
1262,564,August,22,2019,Pb,W,1,0.2306,0.2306,0.007005712
1263,565,August,22,2019,Pb,W,2,0.2902,0.2902,0.007005712
1264,566,August,22,2019,Pb,W,3,0.411,0.411,0.007005712
1265,567,August,22,2019,Pb,W,4,0.3702,0.3702,0.007005712
1266,568,August,22,2019,Pb,W,5,0.7286,0.7286,0.007005712
1267,570,August,22,2019,Pb,W,6,0.615,0.615,0.007005712
1268,571,August,22,2019,Pb,W,7,0.8566,0.8566,0.007005712
1269,572,August,22,2019,Pb,W,8,0.8304,0.8304,0.007005712
1270,573,August,22,2019,Pb,W,9,0.4526,0.4526,0.007005712
1271,574,August,22,2019,Pb,W,10,0.4794,0.4794,0.007005712
1272,576,August,22,2019,Pb,W,11,0.510444444,0.510444444,0.038649156
1273,577,August,22,2019,Pb,W,12,0.2748,0.2748,0.038649156
1274,578,August,22,2019,Pb,W,13,0.1264,0.1264,0.038649156
1275,357,August,22,2019,Se,F,1,0.137,0.137,0.007107742
1276,359,August,22,2019,Se,F,2,0.1418,0.1418,0.007107742
1277,360,August,22,2019,Se,F,3,0.1446,0.1446,0.007107742
1278,361,August,22,2019,Se,F,4,0.114,0.114,0.007107742
1279,362,August,22,2019,Se,F,5,0.1954,0.1954,0.007107742
1280,363,August,22,2019,Se,F,6,0.1446,0.1446,0.007107742
1281,365,August,22,2019,Se,F,7,0.2018,0.2018,0.007107742
1282,366,August,22,2019,Se,F,8,0.2128,0.2128,0.007107742
1283,367,August,22,2019,Se,F,9,0.1154,0.1154,0.007107742
1284,369,August,22,2019,Se,F,10,0.1958,0.1958,0.007107742
1285,370,August,22,2019,Se,F,11,0.183555556,0.183555556,0.007107742
1286,371,August,22,2019,Se,F,12,0.1324,0.1324,0.007107742
1287,372,August,22,2019,Se,F,13,0.0782,0.0782,0.007107742
1288,564,August,22,2019,Se,W,1,0.1506,0.1506,0.027383937
1289,565,August,22,2019,Se,W,2,0.0952,0.0952,0.027383937
1290,566,August,22,2019,Se,W,3,0.1718,0.1718,0.027383937
1291,567,August,22,2019,Se,W,4,0.1406,0.1406,0.027383937
1292,568,August,22,2019,Se,W,5,0.1274,0.1274,0.027383937
1293,570,August,22,2019,Se,W,6,0.1612,0.1612,0.027383937
1294,571,August,22,2019,Se,W,7,0.1804,0.1804,0.027383937
1295,572,August,22,2019,Se,W,8,0.189,0.189,0.027383937
1296,573,August,22,2019,Se,W,9,0.1466,0.1466,0.027383937
1297,574,August,22,2019,Se,W,10,0.247,0.247,0.027383937
1298,576,August,22,2019,Se,W,11,0.202888889,0.202888889,0.025628443
1299,577,August,22,2019,Se,W,12,0.1246,0.1246,0.025628443
1300,578,August,22,2019,Se,W,13,0.0758,0.0758,0.025628443
1301,357,August,22,2019,V,F,1,1.2286,1.2286,0.031086331
1302,359,August,22,2019,V,F,2,1.2766,1.2766,0.031086331
1303,360,August,22,2019,V,F,3,1.2844,1.2844,0.031086331
1304,361,August,22,2019,V,F,4,1.4994,1.4994,0.031086331
1305,362,August,22,2019,V,F,5,1.6278,1.6278,0.031086331
1306,363,August,22,2019,V,F,6,1.85,1.85,0.031086331
1307,365,August,22,2019,V,F,7,2.356,2.356,0.031086331
1308,366,August,22,2019,V,F,8,2.4102,2.4102,0.031086331
1309,367,August,22,2019,V,F,9,2.0106,2.0106,0.031086331
1310,369,August,22,2019,V,F,10,2.0934,2.0934,0.031086331
1311,370,August,22,2019,V,F,11,2.157333333,2.157333333,0.031086331
1312,371,August,22,2019,V,F,12,1.259,1.259,0.031086331
1313,372,August,22,2019,V,F,13,0.9422,0.9422,0.031086331
1314,564,August,22,2019,V,W,1,1.2006,1.2006,0.054880598
1315,565,August,22,2019,V,W,2,1.2878,1.2878,0.054880598
1316,566,August,22,2019,V,W,3,1.323,1.323,0.054880598
1317,567,August,22,2019,V,W,4,1.5122,1.5122,0.054880598
1318,568,August,22,2019,V,W,5,1.6742,1.6742,0.054880598
1319,570,August,22,2019,V,W,6,1.877,1.877,0.054880598
1320,571,August,22,2019,V,W,7,2.3622,2.3622,0.054880598
1321,572,August,22,2019,V,W,8,2.4626,2.4626,0.054880598
1322,573,August,22,2019,V,W,9,1.9736,1.9736,0.054880598
1323,574,August,22,2019,V,W,10,2.0716,2.0716,0.054880598
1324,357,August,22,2019,Zn,F,1,5.0486,5.0486,1.156708243
1325,359,August,22,2019,Zn,F,2,4.8904,4.8904,1.156708243
1326,360,August,22,2019,Zn,F,3,5.8904,5.8904,1.156708243
1327,361,August,22,2019,Zn,F,4,6.193,6.193,1.156708243
1328,362,August,22,2019,Zn,F,5,11.9864,11.9864,1.156708243
1329,363,August,22,2019,Zn,F,6,16.4834,16.4834,1.156708243
1330,365,August,22,2019,Zn,F,7,8.5918,8.5918,1.156708243
1331,366,August,22,2019,Zn,F,8,15.8874,15.8874,1.156708243
1332,367,August,22,2019,Zn,F,9,11.511,11.511,1.156708243
1333,369,August,22,2019,Zn,F,10,11.1306,11.1306,1.156708243
1334,370,August,22,2019,Zn,F,11,10.19066667,10.19066667,1.156708243
1335,371,August,22,2019,Zn,F,12,8.0552,8.0552,1.156708243
1336,372,August,22,2019,Zn,F,13,7.9116,7.9116,1.156708243
1337,564,August,22,2019,Zn,W,1,2.1108,2.1108,0.48700501
1338,565,August,22,2019,Zn,W,2,2.5964,2.5964,0.48700501
1339,566,August,22,2019,Zn,W,3,4.4486,4.4486,0.48700501
1340,567,August,22,2019,Zn,W,4,3.919,3.919,0.48700501
1341,568,August,22,2019,Zn,W,5,8.1144,8.1144,0.48700501
1342,570,August,22,2019,Zn,W,6,7.122,7.122,0.48700501
1343,571,August,22,2019,Zn,W,7,9.2296,9.2296,0.48700501
1344,572,August,22,2019,Zn,W,8,9.233,9.233,0.48700501
1345,573,August,22,2019,Zn,W,9,4.8918,4.8918,0.48700501
1346,574,August,22,2019,Zn,W,10,5.221,5.221,0.48700501
1347,576,August,22,2019,Zn,W,11,6.114666667,6.114666667,0.867966982
1348,577,August,22,2019,Zn,W,12,3.3452,3.3452,0.867966982
1349,578,August,22,2019,Zn,W,13,BDL,0.433983491,0.867966982
1350,135,February,20,2019,Al,F,1,BDL,4.708557559,9.417115118
1351,136,February,20,2019,Al,F,2,BDL,4.708557559,9.417115118
1352,138,February,20,2019,Al,F,3,BDL,4.708557559,9.417115118
1353,139,February,20,2019,Al,F,4,BDL,4.708557559,9.417115118
1354,141,February,20,2019,Al,F,5,BDL,4.708557559,9.417115118
1355,142,February,20,2019,Al,F,6,BDL,4.708557559,9.417115118
1356,143,February,20,2019,Al,F,10,BDL,4.708557559,9.417115118
1357,145,February,20,2019,Al,F,11,BDL,4.708557559,9.417115118
1358,146,February,20,2019,Al,F,12,BDL,4.708557559,9.417115118
1359,33,February,20,2019,Al,W,1,40.84,40.84,9.417115118
1360,34,February,20,2019,Al,W,2,90.65517241,90.65517241,9.417115118
1361,35,February,20,2019,Al,W,3,457.25,457.25,9.417115118
1362,37,February,20,2019,Al,W,4,235.64,235.64,9.417115118
1363,38,February,20,2019,Al,W,5,158.55,158.55,9.417115118
1364,39,February,20,2019,Al,W,6,644.75,644.75,9.417115118
1365,41,February,20,2019,Al,W,10,95.2,95.2,9.417115118
1366,42,February,20,2019,Al,W,11,96.8,96.8,9.417115118
1367,43,February,20,2019,Al,W,12,67.2,67.2,9.417115118
