Obs,sampleno,month,day,year,metal,type,siteno,conc1,conc,MDL
101,12,December,7,2018,Co,W,10,0.26,0.26,0.01
102,14,December,7,2018,Co,W,11,0.3,0.3,0.01
103,15,December,7,2018,Co,W,12,0.22,0.22,0.01
104,16,December,7,2018,Co,W,13,0.16,0.16,0.01
105,103,December,7,2018,Cr,F,1,BDL,0.016690459,0.033380918
106,104,December,7,2018,Cr,F,2,BDL,0.016690459,0.033380918
107,106,December,7,2018,Cr,F,3,BDL,0.016690459,0.033380918
108,107,December,7,2018,Cr,F,4,BDL,0.016690459,0.033380918
109,108,December,7,2018,Cr,F,5,BDL,0.016690459,0.033380918
110,109,December,7,2018,Cr,F,6,BDL,0.016690459,0.033380918
111,111,December,7,2018,Cr,F,7,BDL,0.016690459,0.033380918
112,112,December,7,2018,Cr,F,8,BDL,0.016690459,0.033380918
113,113,December,7,2018,Cr,F,9,BDL,0.016690459,0.033380918
114,114,December,7,2018,Cr,F,10,BDL,0.016690459,0.033380918
115,115,December,7,2018,Cr,F,11,BDL,0.016690459,0.033380918
116,117,December,7,2018,Cr,F,12,BDL,0.016690459,0.033380918
117,118,December,7,2018,Cr,F,13,BDL,0.016690459,0.033380918
118,1,December,7,2018,Cr,W,1,BDL,0.016690459,0.033380918
119,3,December,7,2018,Cr,W,2,BDL,0.016690459,0.033380918
120,4,December,7,2018,Cr,W,3,BDL,0.016690459,0.033380918
121,5,December,7,2018,Cr,W,4,BDL,0.016690459,0.033380918
122,7,December,7,2018,Cr,W,5,BDL,0.016690459,0.033380918
123,8,December,7,2018,Cr,W,6,BDL,0.016690459,0.033380918
124,9,December,7,2018,Cr,W,7,BDL,0.016690459,0.033380918
125,10,December,7,2018,Cr,W,8,BDL,0.016690459,0.033380918
126,11,December,7,2018,Cr,W,9,BDL,0.016690459,0.033380918
127,12,December,7,2018,Cr,W,10,BDL,0.016690459,0.033380918
128,14,December,7,2018,Cr,W,11,BDL,0.016690459,0.033380918
129,15,December,7,2018,Cr,W,12,BDL,0.016690459,0.033380918
130,16,December,7,2018,Cr,W,13,BDL,0.016690459,0.033380918
131,103,December,7,2018,Cu,F,1,5.5,5.5,0.038172541
132,104,December,7,2018,Cu,F,2,5.666666667,5.666666667,0.038172541
133,106,December,7,2018,Cu,F,3,4.48,4.48,0.038172541
134,107,December,7,2018,Cu,F,4,3.96,3.96,0.038172541
135,108,December,7,2018,Cu,F,5,5.04,5.04,0.038172541
136,109,December,7,2018,Cu,F,6,5.74,5.74,0.038172541
137,111,December,7,2018,Cu,F,7,6.58,6.58,0.038172541
138,112,December,7,2018,Cu,F,8,6.56,6.56,0.038172541
139,113,December,7,2018,Cu,F,9,5.66,5.66,0.038172541
140,114,December,7,2018,Cu,F,10,3.76,3.76,0.038172541
141,115,December,7,2018,Cu,F,11,3.42,3.42,0.038172541
142,117,December,7,2018,Cu,F,12,3.4,3.4,0.038172541
143,118,December,7,2018,Cu,F,13,1.571428571,1.571428571,0.038172541
144,1,December,7,2018,Cu,W,1,7.4,7.4,0.038172541
145,3,December,7,2018,Cu,W,2,6.5,6.5,0.038172541
146,4,December,7,2018,Cu,W,3,5.863636364,5.863636364,0.038172541
147,5,December,7,2018,Cu,W,4,6.32,6.32,0.038172541
148,7,December,7,2018,Cu,W,5,6.606060606,6.606060606,0.038172541
149,8,December,7,2018,Cu,W,6,11,11,0.038172541
150,9,December,7,2018,Cu,W,7,10.12,10.12,0.038172541
151,10,December,7,2018,Cu,W,8,11.92,11.92,0.038172541
152,11,December,7,2018,Cu,W,9,9.52,9.52,0.038172541
153,12,December,7,2018,Cu,W,10,6.4,6.4,0.038172541
154,14,December,7,2018,Cu,W,11,6.38,6.38,0.038172541
155,15,December,7,2018,Cu,W,12,5.44,5.44,0.038172541
156,16,December,7,2018,Cu,W,13,2.52,2.52,0.038172541
157,103,December,7,2018,Fe,F,1,17.44,17.44,6.700740897
158,104,December,7,2018,Fe,F,2,BDL,3.350370449,6.700740897
159,106,December,7,2018,Fe,F,3,29.92,29.92,6.700740897
160,107,December,7,2018,Fe,F,4,22.54,22.54,6.700740897
161,108,December,7,2018,Fe,F,5,37.54,37.54,6.700740897
162,109,December,7,2018,Fe,F,6,24.3,24.3,6.700740897
163,111,December,7,2018,Fe,F,7,19.94,19.94,6.700740897
164,112,December,7,2018,Fe,F,8,15.54,15.54,6.700740897
165,113,December,7,2018,Fe,F,9,21.38,21.38,6.700740897
166,114,December,7,2018,Fe,F,10,26.78,26.78,6.700740897
167,115,December,7,2018,Fe,F,11,16.5,16.5,6.700740897
168,117,December,7,2018,Fe,F,12,26.38,26.38,6.700740897
169,118,December,7,2018,Fe,F,13,BDL,3.350370449,6.700740897
170,1,December,7,2018,Fe,W,1,101.56,101.56,6.700740897
171,3,December,7,2018,Fe,W,2,87.18181818,87.18181818,6.700740897
172,4,December,7,2018,Fe,W,3,62.04545455,62.04545455,6.700740897
173,5,December,7,2018,Fe,W,4,108.8,108.8,6.700740897
174,7,December,7,2018,Fe,W,5,122.8787879,122.8787879,6.700740897
175,8,December,7,2018,Fe,W,6,196,196,6.700740897
176,9,December,7,2018,Fe,W,7,197.88,197.88,6.700740897
177,10,December,7,2018,Fe,W,8,520.8,520.8,6.700740897
178,11,December,7,2018,Fe,W,9,173.94,173.94,6.700740897
179,12,December,7,2018,Fe,W,10,185.8,185.8,6.700740897
180,14,December,7,2018,Fe,W,11,156.22,156.22,6.700740897
181,15,December,7,2018,Fe,W,12,161.26,161.26,6.700740897
182,16,December,7,2018,Fe,W,13,66.9,66.9,6.700740897
183,103,December,7,2018,Mn,F,1,60.16,60.16,0.033380918
